name;sub;a;b;c;d;M
Nitrogen;N2;28.90000000000000000;-0.00157100000000000;0.00000808100000000;-0.00000000287300000;28.01300000000000000
Oxygen;O2;25.48000000000000000;0.01520000000000000;-0.00000715500000000;0.00000000131200000;31.99900000000000000
Air;—;28.11000000000000000;0.00196700000000000;0.00000480200000000;-0.00000000196600000;28.97000000000000000
Hydrogen;H2;29.11000000000000000;-0.00191600000000000;0.00000400300000000;-0.00000000087040000;2.01600000000000000
CarbonMonoxide;CO;28.16000000000000000;0.00167500000000000;0.00000537200000000;-0.00000000222200000;28.01100000000000000
CarbonDioxide;CO2;23.965;0.054685;-0.000030227;0.0000000060233;44.0098
Water;H2O;32.24000000000000000;0.00192300000000000;0.00001055000000000;-0.00000000359500000;18.01500000000000000
NitricOxide;NO;29.34000000000000000;-0.00093950000000000;0.00000974700000000;-0.00000000418700000;30.01000000000000000
NitrousOxide;N2O;24.11000000000000000;0.05863200000000000;-0.00003562000000000;0.00000001058000000;44.01300000000000000
NitrogenDioxide;NO2;22.90000000000000000;0.05715000000000000;-0.00003520000000000;0.00000000787000000;46.00550000000000000
Ammonia;NH3;27.56800000000000000;0.02563000000000000;0.00000990720000000;-0.00000000669090000;17.03000000000000000
Sulfur;S2;27.21000000000000000;0.02218000000000000;-0.00001628000000000;0.00000000398600000;0.00000000000000000
SulfurDioxide;SO2;25.78000000000000000;0.05795000000000000;-0.00003812000000000;0.00000000861200000;64.06300000000000000
SulfurTrioxide;SO3;16.40000000000000000;0.14580000000000000;-0.00011200000000000;0.00000003242000000;80.06600000000000000
Acetylene;C2H2;21.80000000000000000;0.09214300000000000;-0.00006527000000000;0.00000001821000000;26.04000000000000000
Benzene;C6H6;-36.22000000000000000;0.48475000000000000;-0.00031570000000000;0.00000007762000000;78.11500000000000000
Methanol;CH4O;19.00000000000000000;0.09152000000000000;-0.00001220000000000;-0.00000000803900000;32.04000000000000000
Ethanol;C2H6O;19.90000000000000000;0.20960000000000000;-0.00010380000000000;0.00000002005000000;46.07000000000000000
HydrogenChloride;HCl;30.33000000000000000;-0.00762000000000000;0.00001327000000000;-0.00000000433800000;36.46000000000000000
Methane;CH4;19.89000000000000000;0.05024000000000000;0.00001269000000000;-0.00000001101000000;16.04300000000000000
Ethane;C2H6;6.90000000000000000;0.17270000000000000;-0.00006406000000000;0.00000000728500000;30.07000000000000000
Propane;C3H8;-4.04000000000000000;0.30480000000000000;-0.00015720000000000;0.00000003174000000;44.09700000000000000
n-Butane;C4H10;3.96000000000000000;0.37150000000000000;-0.00018340000000000;0.00000003500000000;58.12400000000000000
i-Butane;C4H10;-7.91300000000000000;0.41600000000000000;-0.00023010000000000;0.00000004991000000;58.12000000000000000
n-Pentane;C5H12;6.77400000000000000;0.45430000000000000;-0.00022460000000000;0.00000004229000000;72.15000000000000000
n-Hexane;C6H14;6.93800000000000000;0.55220000000000000;-0.00028650000000000;0.00000005769000000;86.17900000000000000
Ethylene;C2H4;3.95000000000000000;0.15640000000000000;-0.00008344000000000;0.00000001767000000;28.05400000000000000
Propylene;C3H6;3.15000000000000000;0.23830000000000000;-0.00012180000000000;0.00000002462000000;42.08100000000000000
