factor,level,configurations,runs,hypervolume_mean,hypervolume_std,hypervolume_standard_error,delta_from_grand_mean
population_size,12.0,9,63,0.835390150085973,0.008632665920576505,0.0010876136751118046,-0.0030726035648640515
population_size,24.0,9,63,0.8383135282505393,0.01095036777755954,0.001379616662100838,-0.00014922540029771447
population_size,36.0,9,63,0.8369861039480905,0.013792866746737475,0.0017377378704057078,-0.0014766497027465242
population_size,56.0,9,63,0.8431612323187446,0.005135155630123222,0.0006469687971866298,0.004698478667907624
crossover_probability,0.7,12,84,0.841398388823473,0.008751847971382643,0.0009549048999906351,0.002935635172635953
crossover_probability,0.9,12,84,0.8369146150544194,0.010181274121268949,0.0011108680793288086,-0.0015481385964175587
crossover_probability,1.0,12,84,0.8370752570746186,0.011802205380042561,0.0012877261790823831,-0.0013874965762183944
crossover_eta,10.0,12,84,0.8394181487866609,0.008626080690250724,0.0009411825646159729,0.0009553951358238777
crossover_eta,20.0,12,84,0.8370222837836078,0.011103910960974645,0.001211536011636099,-0.0014404698672292326
crossover_eta,30.0,12,84,0.8389478283822424,0.011474885778112632,0.0012520126825993662,0.00048507473140535495
mutation_eta,10.0,12,84,0.8420555761620896,0.006184632448554219,0.0006747987224042807,0.0035928225112525913
mutation_eta,20.0,12,84,0.8372735277740184,0.00863689338434434,0.000942362326262411,-0.0011892258768185782
mutation_eta,40.0,12,84,0.8360591570164028,0.014122793308203754,0.0015409230799776073,-0.002403596634434235
mutation_probability_per_variable,0.25,12,84,0.8325592745155175,0.01268663001988965,0.0013842248185724627,-0.005903479135319523
mutation_probability_per_variable,0.5,12,84,0.8402324361984587,0.009570475422692426,0.0010442244776476793,0.0017696825476216649
mutation_probability_per_variable,1.0,12,84,0.8425965502385344,0.004935764162324312,0.0005385360211024158,0.004133796587697414
